case_id,admissible,delta_A,delta_phi,anisotropy_injection,selector_margin_abs,transport_deviation,isotropy_drift,sign_flip_detected
CASE_00019,1,0.07999999999999999,0.06400000000000002,0.034999999999999996,0.00191,8.608247422680412e-08,3.4292035398230086e-05,0
CASE_00020,1,0.09,0.072,0.04000000000000001,0.00192,9.030927835051546e-08,3.614159292035399e-05,0
CASE_00021,1,0.1,0.08,0.045000000000000005,0.00193,9.45360824742268e-08,3.7991150442477875e-05,0
CASE_00022,1,-0.1,-0.08,0.05,0.0019399999999999999,9.876288659793814e-08,3.984070796460177e-05,0
CASE_00023,1,-0.09000000000000001,-0.07200000000000001,0.0,0.00195,1.0298969072164948e-07,4.1690265486725664e-05,0
CASE_00024,1,-0.08,-0.064,0.005000000000000001,0.00196,1.0721649484536082e-07,4.353982300884956e-05,0
CASE_00025,1,-0.07,-0.056,0.010000000000000002,0.00197,1.1144329896907217e-07,4.538938053097345e-05,0
CASE_00026,1,-0.060000000000000005,-0.048,0.015,0.00198,1.1567010309278349e-07,4.723893805309735e-05,0
CASE_00027,1,-0.05,-0.04,0.020000000000000004,0.00199,1.1989690721649483e-07,4.9088495575221236e-05,0
CASE_00028,1,-0.04000000000000001,-0.032,0.025,0.002,1.241237113402062e-07,5.093805309734514e-05,0
CASE_00029,1,-0.03,-0.024,0.03,0.00201,1.283505154639175e-07,5.2787610619469025e-05,0
CASE_00030,1,-0.020000000000000004,-0.016,0.034999999999999996,0.00202,1.3257731958762887e-07,5.463716814159292e-05,0
CASE_00031,1,-0.010000000000000009,-0.007999999999999993,0.04000000000000001,0.00203,1.368041237113402e-07,5.648672566371682e-05,0
CASE_00032,1,0.0,0.0,0.045000000000000005,0.00204,1.4103092783505155e-07,5.83362831858407e-05,0
CASE_00033,1,0.009999999999999995,0.007999999999999993,0.05,0.00205,1.4525773195876289e-07,6.01858407079646e-05,0
CASE_00034,1,0.01999999999999999,0.016,0.0,0.00206,1.4948453608247425e-07,6.20353982300885e-05,0
CASE_00035,1,0.03,0.024000000000000007,0.005000000000000001,0.00207,1.5371134020618556e-07,6.38849557522124e-05,0
CASE_00036,1,0.04000000000000001,0.032,0.010000000000000002,0.0020800000000000003,1.579381443298969e-07,6.573451327433629e-05,0
CASE_00037,1,0.04999999999999999,0.039999999999999994,0.015,0.00209,1.6216494845360827e-07,6.758407079646017e-05,0
CASE_00038,1,0.06,0.048,0.020000000000000004,0.0021,1.6639175257731958e-07,6.943362831858408e-05,0
CASE_00039,1,0.07,0.05600000000000001,0.025,0.00211,1.7061855670103094e-07,7.128318584070798e-05,0
CASE_00040,1,0.07999999999999999,0.06400000000000002,0.03,0.00212,1.7484536082474228e-07,7.313274336283185e-05,0
CASE_00041,1,0.09,0.072,0.034999999999999996,0.00213,1.7907216494845362e-07,7.498230088495575e-05,0
CASE_00042,1,0.1,0.08,0.04000000000000001,0.00214,1.8329896907216496e-07,7.683185840707965e-05,0
CASE_00043,1,-0.1,-0.08,0.045000000000000005,0.00215,1.875257731958763e-07,7.868141592920354e-05,0
CASE_00044,1,-0.09000000000000001,-0.07200000000000001,0.05,0.00216,1.9175257731958763e-07,8.053097345132743e-05,0
CASE_00045,1,-0.08,-0.064,0.0,0.00217,1.9597938144329897e-07,8.238053097345133e-05,0
CASE_00046,1,-0.07,-0.056,0.005000000000000001,0.00218,2.0020618556701034e-07,8.423008849557522e-05,0
CASE_00047,1,-0.060000000000000005,-0.048,0.010000000000000002,0.00219,2.0443298969072165e-07,8.607964601769912e-05,0
CASE_00048,1,-0.05,-0.04,0.015,0.0022,2.0865979381443299e-07,8.792920353982301e-05,0
CASE_00049,1,-0.04000000000000001,-0.032,0.020000000000000004,0.00221,2.1288659793814435e-07,8.977876106194691e-05,0
CASE_00050,1,-0.03,-0.024,0.025,0.0022199999999999998,2.1711340206185566e-07,9.16283185840708e-05,0
CASE_00051,1,-0.020000000000000004,-0.016,0.03,0.00223,2.21340206185567e-07,9.34778761061947e-05,0
CASE_00052,1,-0.010000000000000009,-0.007999999999999993,0.034999999999999996,0.00224,2.2556701030927836e-07,9.532743362831859e-05,0
CASE_00053,1,0.0,0.0,0.04000000000000001,0.00225,2.2979381443298968e-07,9.717699115044247e-05,0
CASE_00054,1,0.009999999999999995,0.007999999999999993,0.045000000000000005,0.00226,2.3402061855670101e-07,9.902654867256638e-05,0
CASE_00055,1,0.01999999999999999,0.016,0.05,0.00227,2.3824742268041238e-07,0.00010087610619469028,0
CASE_00056,1,0.03,0.024000000000000007,0.0,0.00228,2.424742268041237e-07,0.00010272566371681416,0
CASE_00057,1,0.04000000000000001,0.032,0.005000000000000001,0.00229,2.46701030927835e-07,0.00010457522123893805,0
CASE_00058,1,0.04999999999999999,0.039999999999999994,0.010000000000000002,0.0023,2.509278350515464e-07,0.00010642477876106195,0
CASE_00059,1,0.06,0.048,0.015,0.00231,2.5515463917525773e-07,0.00010827433628318584,0
CASE_00060,1,0.07,0.05600000000000001,0.020000000000000004,0.00232,2.5938144329896904e-07,0.00011012389380530974,0
CASE_00061,1,0.07999999999999999,0.06400000000000002,0.025,0.00233,2.636082474226804e-07,0.00011197345132743364,0
CASE_00062,1,0.09,0.072,0.03,0.00234,2.678350515463918e-07,0.00011382300884955752,0
CASE_00063,1,0.1,0.08,0.034999999999999996,0.00235,2.720618556701031e-07,0.0001156725663716814,0
CASE_00064,1,-0.1,-0.08,0.04000000000000001,0.00236,2.7628865979381445e-07,0.00011752212389380531,0
CASE_00065,1,-0.09000000000000001,-0.07200000000000001,0.045000000000000005,0.00237,2.8051546391752576e-07,0.00011937168141592921,0
CASE_00066,1,-0.08,-0.064,0.05,0.00238,2.8474226804123707e-07,0.0001212212389380531,0
CASE_00067,1,-0.07,-0.056,0.0,0.0023899999999999998,2.889690721649485e-07,0.000123070796460177,0
CASE_00068,1,-0.060000000000000005,-0.048,0.005000000000000001,0.0024000000000000002,2.931958762886598e-07,0.0001249203539823009,0
CASE_00069,1,-0.05,-0.04,0.010000000000000002,0.00241,2.974226804123711e-07,0.0001267699115044248,0
CASE_00070,1,-0.04000000000000001,-0.032,0.015,0.0024200000000000003,3.016494845360825e-07,0.00012861946902654867,0
CASE_00071,1,-0.03,-0.024,0.020000000000000004,0.00243,3.058762886597938e-07,0.00013046902654867258,0
CASE_00072,1,-0.020000000000000004,-0.016,0.025,0.00244,3.1010309278350516e-07,0.00013231858407079645,0
CASE_00073,1,-0.010000000000000009,-0.007999999999999993,0.03,0.00245,3.143298969072165e-07,0.00013416814159292035,0
CASE_00074,1,0.0,0.0,0.034999999999999996,0.00246,3.1855670103092783e-07,0.00013601769911504425,0
CASE_00075,1,0.009999999999999995,0.007999999999999993,0.04000000000000001,0.00247,3.2278350515463914e-07,0.00013786725663716815,0
CASE_00076,1,0.01999999999999999,0.016,0.045000000000000005,0.00248,3.270103092783505e-07,0.00013971681415929206,0
CASE_00077,1,0.03,0.024000000000000007,0.05,0.00249,3.3123711340206187e-07,0.00014156637168141596,0
CASE_00078,1,0.04000000000000001,0.032,0.0,0.0025,3.354639175257732e-07,0.0001434159292035398,0
CASE_00079,1,0.04999999999999999,0.039999999999999994,0.005000000000000001,0.00251,3.3969072164948455e-07,0.0001452654867256637,0
CASE_00080,1,0.06,0.048,0.010000000000000002,0.00252,3.4391752577319586e-07,0.0001471150442477876,0
CASE_00081,1,0.07,0.05600000000000001,0.015,0.00253,3.481443298969072e-07,0.0001489646017699115,0
CASE_00082,1,0.07999999999999999,0.06400000000000002,0.020000000000000004,0.00254,3.523711340206186e-07,0.0001508141592920354,0
CASE_00083,1,0.09,0.072,0.025,0.00255,3.565979381443299e-07,0.0001526637168141593,0
CASE_00084,1,0.1,0.08,0.03,0.0025599999999999998,3.608247422680412e-07,0.00015451327433628319,0
CASE_00085,1,-0.1,-0.08,0.034999999999999996,0.0025700000000000002,3.650515463917526e-07,0.0001563628318584071,0
CASE_00086,1,-0.09000000000000001,-0.07200000000000001,0.04000000000000001,0.00258,3.6927835051546394e-07,0.00015821238938053096,0
CASE_00087,1,-0.08,-0.064,0.045000000000000005,0.00259,3.7350515463917526e-07,0.00016006194690265486,0
CASE_00088,1,-0.07,-0.056,0.05,0.0026,3.777319587628866e-07,0.00016191150442477876,0
CASE_00089,1,-0.060000000000000005,-0.048,0.0,0.00261,3.8195876288659793e-07,0.00016376106194690266,0
CASE_00090,1,-0.05,-0.04,0.005000000000000001,0.00262,3.8618556701030924e-07,0.00016561061946902657,0
CASE_00091,1,-0.04000000000000001,-0.032,0.010000000000000002,0.00263,3.9041237113402066e-07,0.00016746017699115044,0
CASE_00092,1,-0.03,-0.024,0.015,0.00264,3.9463917525773197e-07,0.00016930973451327434,0
CASE_00093,1,-0.020000000000000004,-0.016,0.020000000000000004,0.00265,3.988659793814433e-07,0.00017115929203539824,0
CASE_00094,1,-0.010000000000000009,-0.007999999999999993,0.025,0.00266,4.0309278350515465e-07,0.00017300884955752212,0
CASE_00095,1,0.0,0.0,0.03,0.00267,4.0731958762886596e-07,0.00017485840707964602,0
CASE_00096,1,0.009999999999999995,0.007999999999999993,0.034999999999999996,0.00268,4.115463917525773e-07,0.00017670796460176992,0
CASE_00097,1,0.01999999999999999,0.016,0.04000000000000001,0.00269,4.157731958762887e-07,0.00017855752212389382,0
CASE_00098,1,0.03,0.024000000000000007,0.045000000000000005,0.0027,1e-08,0.0001804070796460177,0
CASE_00099,1,0.04000000000000001,0.032,0.05,0.0027099999999999997,1.422680412371134e-08,0.0001822566371681416,0
CASE_00100,1,0.04999999999999999,0.039999999999999994,0.0,0.00272,1.845360824742268e-08,0.0001841061946902655,0
CASE_00101,1,0.06,0.048,0.005000000000000001,0.00273,2.268041237113402e-08,0.0001859557522123894,0
CASE_00102,1,0.07,0.05600000000000001,0.010000000000000002,0.0027400000000000002,2.690721649484536e-08,0.00018780530973451327,0
CASE_00103,1,0.07999999999999999,0.06400000000000002,0.015,0.00275,3.11340206185567e-08,0.00018965486725663718,0
CASE_00104,1,0.09,0.072,0.020000000000000004,0.00276,3.536082474226804e-08,0.00019150442477876108,0
CASE_00105,1,0.1,0.08,0.025,0.00277,3.958762886597938e-08,0.00019335398230088495,0
CASE_00106,1,-0.1,-0.08,0.03,0.00278,4.3814432989690716e-08,0.00019520353982300885,0
CASE_00107,1,-0.09000000000000001,-0.07200000000000001,0.034999999999999996,0.00279,4.804123711340207e-08,0.00019705309734513275,0
CASE_00108,1,-0.08,-0.064,0.04000000000000001,0.0028,5.2268041237113406e-08,0.00019890265486725665,0
CASE_00109,1,-0.07,-0.056,0.045000000000000005,0.00281,5.6494845360824744e-08,0.00020075221238938056,0
CASE_00110,1,-0.060000000000000005,-0.048,0.05,0.00282,6.072164948453608e-08,0.00020260176991150443,0
CASE_00111,1,-0.05,-0.04,0.0,0.00283,6.494845360824742e-08,0.00020445132743362833,0
CASE_00112,1,-0.04000000000000001,-0.032,0.005000000000000001,0.00284,6.917525773195876e-08,0.0002063008849557522,0
CASE_00113,1,-0.03,-0.024,0.010000000000000002,0.00285,7.34020618556701e-08,0.0002081504424778761,0
CASE_00114,1,-0.020000000000000004,-0.016,0.015,0.00286,7.762886597938143e-08,1e-06,0
CASE_00115,1,-0.010000000000000009,-0.007999999999999993,0.020000000000000004,0.00287,8.185567010309277e-08,2.849557522123894e-06,0
CASE_00116,1,0.0,0.0,0.025,0.0028799999999999997,8.608247422680412e-08,4.699115044247788e-06,0
CASE_00117,1,0.009999999999999995,0.007999999999999993,0.03,0.00289,9.030927835051546e-08,6.548672566371682e-06,0
CASE_00118,1,0.01999999999999999,0.016,0.034999999999999996,0.0029,9.45360824742268e-08,8.398230088495575e-06,0
CASE_00119,1,0.03,0.024000000000000007,0.04000000000000001,0.0029100000000000003,9.876288659793814e-08,1.024778761061947e-05,0
CASE_00120,1,0.04000000000000001,0.032,0.045000000000000005,0.00292,1.0298969072164948e-07,1.2097345132743365e-05,0
CASE_00121,1,0.04999999999999999,0.039999999999999994,0.05,0.00293,1.0721649484536082e-07,1.3946902654867257e-05,0
CASE_00122,1,0.06,0.048,0.0,0.00294,1.1144329896907217e-07,1.579646017699115e-05,0
CASE_00123,1,0.07,0.05600000000000001,0.005000000000000001,0.00295,1.1567010309278349e-07,1.7646017699115045e-05,0
CASE_00124,1,0.07999999999999999,0.06400000000000002,0.010000000000000002,0.00296,1.1989690721649483e-07,1.949557522123894e-05,0
CASE_00125,1,0.09,0.072,0.015,0.00297,1.241237113402062e-07,2.1345132743362834e-05,0
CASE_00126,1,0.1,0.08,0.020000000000000004,0.00298,1.283505154639175e-07,2.319469026548673e-05,0
CASE_00127,1,-0.1,-0.08,0.025,0.00299,1.3257731958762887e-07,2.504424778761062e-05,0
CASE_00128,1,-0.09000000000000001,-0.07200000000000001,0.03,0.003,1.368041237113402e-07,2.6893805309734514e-05,0
CASE_00129,1,-0.08,-0.064,0.034999999999999996,0.00301,1.4103092783505155e-07,2.8743362831858412e-05,0
CASE_00130,1,-0.07,-0.056,0.04000000000000001,0.00302,1.4525773195876289e-07,3.0592920353982303e-05,0
CASE_00131,1,-0.060000000000000005,-0.048,0.045000000000000005,0.00303,1.4948453608247425e-07,3.24424778761062e-05,0
CASE_00132,1,-0.05,-0.04,0.05,0.00304,1.5371134020618556e-07,3.4292035398230086e-05,0
CASE_00133,1,-0.04000000000000001,-0.032,0.0,0.0030499999999999998,1.579381443298969e-07,3.614159292035399e-05,0
CASE_00134,1,-0.03,-0.024,0.005000000000000001,0.0030600000000000002,1.6216494845360827e-07,3.7991150442477875e-05,0
CASE_00135,1,-0.020000000000000004,-0.016,0.010000000000000002,0.00307,1.6639175257731958e-07,3.984070796460177e-05,0
CASE_00136,1,-0.010000000000000009,-0.007999999999999993,0.015,0.0030800000000000003,1.7061855670103094e-07,4.1690265486725664e-05,0
CASE_00137,1,0.0,0.0,0.020000000000000004,0.00309,1.7484536082474228e-07,4.353982300884956e-05,0
CASE_00138,1,0.009999999999999995,0.007999999999999993,0.025,0.0031000000000000003,1.7907216494845362e-07,4.538938053097345e-05,0
CASE_00139,1,0.01999999999999999,0.016,0.03,0.00311,1.8329896907216496e-07,4.723893805309735e-05,0
CASE_00140,1,0.03,0.024000000000000007,0.034999999999999996,0.0031200000000000004,1.875257731958763e-07,4.9088495575221236e-05,0
CASE_00141,1,0.04000000000000001,0.032,0.04000000000000001,0.00313,1.9175257731958763e-07,5.093805309734514e-05,0
CASE_00142,1,0.04999999999999999,0.039999999999999994,0.045000000000000005,0.0031399999999999996,1.9597938144329897e-07,5.2787610619469025e-05,0
CASE_00143,1,0.06,0.048,0.05,0.00315,2.0020618556701034e-07,5.463716814159292e-05,0
CASE_00144,1,0.07,0.05600000000000001,0.0,0.0031599999999999996,2.0443298969072165e-07,5.648672566371682e-05,0
CASE_00145,1,0.07999999999999999,0.06400000000000002,0.005000000000000001,0.00317,2.0865979381443299e-07,5.83362831858407e-05,0
CASE_00146,1,0.09,0.072,0.010000000000000002,0.0031799999999999997,2.1288659793814435e-07,6.01858407079646e-05,0
CASE_00147,1,0.1,0.08,0.015,0.00319,2.1711340206185566e-07,6.20353982300885e-05,0
CASE_00148,1,-0.1,-0.08,0.020000000000000004,0.0031999999999999997,2.21340206185567e-07,6.38849557522124e-05,0
CASE_00149,1,-0.09000000000000001,-0.07200000000000001,0.025,0.00321,2.2556701030927836e-07,6.573451327433629e-05,0
CASE_00150,1,-0.08,-0.064,0.03,0.0032199999999999998,2.2979381443298968e-07,6.758407079646017e-05,0
CASE_00151,1,-0.07,-0.056,0.034999999999999996,0.0032300000000000002,2.3402061855670101e-07,6.943362831858408e-05,0
CASE_00152,1,-0.060000000000000005,-0.048,0.04000000000000001,0.00324,2.3824742268041238e-07,7.128318584070798e-05,0
CASE_00153,1,-0.05,-0.04,0.045000000000000005,0.0032500000000000003,2.424742268041237e-07,7.313274336283185e-05,0
CASE_00154,1,-0.04000000000000001,-0.032,0.05,0.00326,2.46701030927835e-07,7.498230088495575e-05,0
CASE_00155,1,-0.03,-0.024,0.0,0.00327,2.509278350515464e-07,7.683185840707965e-05,0
CASE_00156,1,-0.020000000000000004,-0.016,0.005000000000000001,0.00328,2.5515463917525773e-07,7.868141592920354e-05,0
CASE_00157,1,-0.010000000000000009,-0.007999999999999993,0.010000000000000002,0.00329,2.5938144329896904e-07,8.053097345132743e-05,0
CASE_00158,1,0.0,0.0,0.015,0.0033,2.636082474226804e-07,8.238053097345133e-05,0
CASE_00159,1,0.009999999999999995,0.007999999999999993,0.020000000000000004,0.00331,2.678350515463918e-07,8.423008849557522e-05,0
CASE_00160,1,0.01999999999999999,0.016,0.025,0.00332,2.720618556701031e-07,8.607964601769912e-05,0
CASE_00161,1,0.03,0.024000000000000007,0.03,0.00333,2.7628865979381445e-07,8.792920353982301e-05,0
CASE_00162,1,0.04000000000000001,0.032,0.034999999999999996,0.00334,2.8051546391752576e-07,8.977876106194691e-05,0
CASE_00163,1,0.04999999999999999,0.039999999999999994,0.04000000000000001,0.00335,2.8474226804123707e-07,9.16283185840708e-05,0
CASE_00164,1,0.06,0.048,0.045000000000000005,0.00336,2.889690721649485e-07,9.34778761061947e-05,0
CASE_00165,1,0.07,0.05600000000000001,0.05,0.00337,2.931958762886598e-07,9.532743362831859e-05,0
CASE_00166,1,0.07999999999999999,0.06400000000000002,0.0,0.00338,2.974226804123711e-07,9.717699115044247e-05,0
CASE_00167,1,0.09,0.072,0.005000000000000001,0.00339,3.016494845360825e-07,9.902654867256638e-05,0
CASE_00168,1,0.1,0.08,0.010000000000000002,0.0034000000000000002,3.058762886597938e-07,0.00010087610619469028,0
CASE_00169,1,-0.1,-0.08,0.015,0.00341,3.1010309278350516e-07,0.00010272566371681416,0
CASE_00170,1,-0.09000000000000001,-0.07200000000000001,0.020000000000000004,0.0034200000000000003,3.143298969072165e-07,0.00010457522123893805,0
CASE_00171,1,-0.08,-0.064,0.025,0.00343,3.1855670103092783e-07,0.00010642477876106195,0
CASE_00172,1,-0.07,-0.056,0.03,0.0034400000000000003,3.2278350515463914e-07,0.00010827433628318584,0
CASE_00173,1,-0.060000000000000005,-0.048,0.034999999999999996,0.00345,3.270103092783505e-07,0.00011012389380530974,0
CASE_00174,1,-0.05,-0.04,0.04000000000000001,0.00346,3.3123711340206187e-07,0.00011197345132743364,0
CASE_00175,1,-0.04000000000000001,-0.032,0.045000000000000005,0.00347,3.354639175257732e-07,0.00011382300884955752,0
CASE_00176,1,-0.03,-0.024,0.05,0.0034799999999999996,3.3969072164948455e-07,0.0001156725663716814,0
CASE_00177,1,-0.020000000000000004,-0.016,0.0,0.00349,3.4391752577319586e-07,0.00011752212389380531,0
CASE_00178,1,-0.010000000000000009,-0.007999999999999993,0.005000000000000001,0.0034999999999999996,3.481443298969072e-07,0.00011937168141592921,0
CASE_00179,1,0.0,0.0,0.010000000000000002,0.00351,3.523711340206186e-07,0.0001212212389380531,0
CASE_00180,1,0.009999999999999995,0.007999999999999993,0.015,0.0035199999999999997,3.565979381443299e-07,0.000123070796460177,0
CASE_00181,1,0.01999999999999999,0.016,0.020000000000000004,0.00353,3.608247422680412e-07,0.0001249203539823009,0
CASE_00182,1,0.03,0.024000000000000007,0.025,0.0035399999999999997,3.650515463917526e-07,0.0001267699115044248,0
CASE_00183,1,0.04000000000000001,0.032,0.03,0.00355,3.6927835051546394e-07,0.00012861946902654867,0
CASE_00184,1,0.04999999999999999,0.039999999999999994,0.034999999999999996,0.00356,3.7350515463917526e-07,0.00013046902654867258,0
CASE_00185,1,0.06,0.048,0.04000000000000001,0.0035700000000000003,3.777319587628866e-07,0.00013231858407079645,0
CASE_00186,1,0.07,0.05600000000000001,0.045000000000000005,0.00358,3.8195876288659793e-07,0.00013416814159292035,0
CASE_00187,1,0.07999999999999999,0.06400000000000002,0.05,0.0035900000000000003,3.8618556701030924e-07,0.00013601769911504425,0
CASE_00188,1,0.09,0.072,0.0,0.0036,3.9041237113402066e-07,0.00013786725663716815,0
CASE_00189,1,0.1,0.08,0.005000000000000001,0.00361,3.9463917525773197e-07,0.00013971681415929206,0
CASE_00190,1,-0.1,-0.08,0.010000000000000002,0.00362,3.988659793814433e-07,0.00014156637168141596,0
CASE_00191,1,-0.09000000000000001,-0.07200000000000001,0.015,0.00363,4.0309278350515465e-07,0.0001434159292035398,0
CASE_00192,1,-0.08,-0.064,0.020000000000000004,0.00364,4.0731958762886596e-07,0.0001452654867256637,0
CASE_00193,1,-0.07,-0.056,0.025,0.00365,4.115463917525773e-07,0.0001471150442477876,0
CASE_00194,1,-0.060000000000000005,-0.048,0.03,0.00366,4.157731958762887e-07,0.0001489646017699115,0
CASE_00195,1,-0.05,-0.04,0.034999999999999996,0.00367,1e-08,0.0001508141592920354,0
CASE_00196,1,-0.04000000000000001,-0.032,0.04000000000000001,0.00368,1.422680412371134e-08,0.0001526637168141593,0
CASE_00197,1,-0.03,-0.024,0.045000000000000005,0.0036899999999999997,1.845360824742268e-08,0.00015451327433628319,0
CASE_00198,1,-0.020000000000000004,-0.016,0.05,0.0037,2.268041237113402e-08,0.0001563628318584071,0
CASE_00199,1,-0.010000000000000009,-0.007999999999999993,0.0,0.0037099999999999998,2.690721649484536e-08,0.00015821238938053096,0
CASE_00200,1,0.0,0.0,0.005000000000000001,0.00372,3.11340206185567e-08,0.00016006194690265486,0
CASE_00201,1,0.009999999999999995,0.007999999999999993,0.010000000000000002,0.00373,3.536082474226804e-08,0.00016191150442477876,0
CASE_00202,1,0.01999999999999999,0.016,0.015,0.0037400000000000003,3.958762886597938e-08,0.00016376106194690266,0
CASE_00203,1,0.03,0.024000000000000007,0.020000000000000004,0.00375,4.3814432989690716e-08,0.00016561061946902657,0
CASE_00204,1,0.04000000000000001,0.032,0.025,0.0037600000000000003,4.804123711340207e-08,0.00016746017699115044,0
CASE_00205,1,0.04999999999999999,0.039999999999999994,0.03,0.00377,5.2268041237113406e-08,0.00016930973451327434,0
CASE_00206,1,0.06,0.048,0.034999999999999996,0.0037799999999999995,5.6494845360824744e-08,0.00017115929203539824,0
CASE_00207,1,0.07,0.05600000000000001,0.04000000000000001,0.00379,6.072164948453608e-08,0.00017300884955752212,0
CASE_00208,1,0.07999999999999999,0.06400000000000002,0.045000000000000005,0.0037999999999999996,6.494845360824742e-08,0.00017485840707964602,0
CASE_00209,1,0.09,0.072,0.05,0.00381,6.917525773195876e-08,0.00017670796460176992,0
CASE_00210,1,0.1,0.08,0.0,0.0038199999999999996,7.34020618556701e-08,0.00017855752212389382,0
CASE_00211,1,-0.1,-0.08,0.005000000000000001,0.00383,7.762886597938143e-08,0.0001804070796460177,0
CASE_00212,1,-0.09000000000000001,-0.07200000000000001,0.010000000000000002,0.0038399999999999997,8.185567010309277e-08,0.0001822566371681416,0
CASE_00213,1,-0.08,-0.064,0.015,0.00385,8.608247422680412e-08,0.0001841061946902655,0
CASE_00214,1,-0.07,-0.056,0.020000000000000004,0.0038599999999999997,9.030927835051546e-08,0.0001859557522123894,0
CASE_00215,1,-0.060000000000000005,-0.048,0.025,0.00387,9.45360824742268e-08,0.00018780530973451327,0
CASE_00216,1,-0.05,-0.04,0.03,0.0038799999999999998,9.876288659793814e-08,0.00018965486725663718,0
CASE_00217,1,-0.04000000000000001,-0.032,0.034999999999999996,0.0038900000000000002,1.0298969072164948e-07,0.00019150442477876108,0
CASE_00218,1,-0.03,-0.024,0.04000000000000001,0.0039,1.0721649484536082e-07,0.00019335398230088495,0
CASE_00219,1,-0.020000000000000004,-0.016,0.045000000000000005,0.00391,1.1144329896907217e-07,0.00019520353982300885,0
CASE_00220,1,-0.010000000000000009,-0.007999999999999993,0.05,0.00392,1.1567010309278349e-07,0.00019705309734513275,0
CASE_00221,1,0.0,0.0,0.0,0.00393,1.1989690721649483e-07,0.00019890265486725665,0
CASE_00222,1,0.009999999999999995,0.007999999999999993,0.005000000000000001,0.00394,1.241237113402062e-07,0.00020075221238938056,0
CASE_00223,1,0.01999999999999999,0.016,0.010000000000000002,0.00395,1.283505154639175e-07,0.00020260176991150443,0
CASE_00224,1,0.03,0.024000000000000007,0.015,0.00396,1.3257731958762887e-07,0.00020445132743362833,0
CASE_00225,1,0.04000000000000001,0.032,0.020000000000000004,0.0039700000000000004,1.368041237113402e-07,0.0002063008849557522,0
CASE_00226,1,0.04999999999999999,0.039999999999999994,0.025,0.00398,1.4103092783505155e-07,0.0002081504424778761,0
CASE_00227,1,0.06,0.048,0.03,0.0039900000000000005,1.4525773195876289e-07,1e-06,0
CASE_00228,1,0.07,0.05600000000000001,0.034999999999999996,0.004,1.4948453608247425e-07,2.849557522123894e-06,0
CASE_00229,1,0.07999999999999999,0.06400000000000002,0.04000000000000001,0.0040100000000000005,1.5371134020618556e-07,4.699115044247788e-06,0
CASE_00230,1,0.09,0.072,0.045000000000000005,0.00402,1.579381443298969e-07,6.548672566371682e-06,0
CASE_00231,1,0.1,0.08,0.05,0.00403,1.6216494845360827e-07,8.398230088495575e-06,0
CASE_00232,1,-0.1,-0.08,0.0,0.00404,1.6639175257731958e-07,1.024778761061947e-05,0
CASE_00233,1,-0.09000000000000001,-0.07200000000000001,0.005000000000000001,0.00405,1.7061855670103094e-07,1.2097345132743365e-05,0
CASE_00234,1,-0.08,-0.064,0.010000000000000002,0.00406,1.7484536082474228e-07,1.3946902654867257e-05,0
CASE_00235,1,-0.07,-0.056,0.015,0.00407,1.7907216494845362e-07,1.579646017699115e-05,0
CASE_00236,1,-0.060000000000000005,-0.048,0.020000000000000004,0.00408,1.8329896907216496e-07,1.7646017699115045e-05,0
