row_type,trial,generator_images,left_resource,right_resource,phi_left,phi_right,phi_sum,additivity,unique_coordinate_extension,resource_grade,realization,probability_outcome_1
free_monoid_extension,42,"[6, 4, 6, 7, 3]","[4, 0, 3, 0, 1]","[4, 1, 0, 1, 0]",45,35,80,True,True,,,
free_monoid_extension,43,"[3, 6, 2, 2, 0]","[4, 2, 0, 1, 0]","[0, 1, 4, 4, 0]",26,22,48,True,True,,,
free_monoid_extension,44,"[4, 4, 4, 0, 4]","[2, 3, 3, 4, 3]","[0, 4, 2, 3, 4]",44,40,84,True,True,,,
free_monoid_extension,45,"[5, 6, 5, 7, 5]","[2, 1, 1, 4, 3]","[0, 0, 2, 1, 0]",64,17,81,True,True,,,
free_monoid_extension,46,"[6, 6, 4, 5, 6]","[2, 0, 1, 3, 2]","[1, 1, 3, 1, 2]",43,41,84,True,True,,,
free_monoid_extension,47,"[5, 6, 6, 3, 1]","[1, 1, 2, 3, 0]","[3, 1, 1, 3, 2]",32,38,70,True,True,,,
free_monoid_extension,48,"[1, 5, 2, 5, 5]","[3, 3, 4, 0, 2]","[0, 4, 2, 2, 4]",36,54,90,True,True,,,
free_monoid_extension,49,"[5, 3, 4, 5, 7]","[3, 3, 4, 1, 4]","[0, 3, 2, 4, 2]",73,51,124,True,True,,,
free_monoid_extension,50,"[4, 4, 3, 6, 0]","[4, 3, 4, 0, 4]","[2, 0, 2, 3, 3]",40,32,72,True,True,,,
free_monoid_extension,51,"[0, 7, 1, 4, 0]","[0, 0, 4, 3, 4]","[0, 0, 3, 4, 1]",16,19,35,True,True,,,
free_monoid_extension,52,"[0, 2, 6, 7, 2]","[4, 0, 1, 2, 4]","[3, 1, 3, 4, 4]",28,56,84,True,True,,,
free_monoid_extension,53,"[7, 7, 0, 5, 0]","[0, 4, 1, 1, 1]","[3, 1, 2, 4, 0]",33,48,81,True,True,,,
free_monoid_extension,54,"[1, 6, 3, 1, 4]","[2, 3, 0, 1, 1]","[4, 4, 4, 1, 3]",25,53,78,True,True,,,
free_monoid_extension,55,"[1, 7, 6, 6, 6]","[1, 3, 0, 0, 4]","[4, 4, 0, 4, 4]",46,80,126,True,True,,,
free_monoid_extension,56,"[2, 4, 7, 6, 1]","[0, 3, 1, 2, 2]","[1, 3, 2, 3, 4]",33,50,83,True,True,,,
free_monoid_extension,57,"[2, 5, 2, 3, 4]","[1, 1, 4, 1, 4]","[3, 1, 1, 0, 1]",34,17,51,True,True,,,
free_monoid_extension,58,"[0, 2, 0, 7, 7]","[1, 0, 1, 2, 1]","[2, 3, 0, 3, 4]",21,55,76,True,True,,,
free_monoid_extension,59,"[2, 2, 6, 6, 6]","[1, 1, 1, 3, 1]","[3, 3, 4, 1, 1]",34,48,82,True,True,,,
free_monoid_extension,60,"[4, 2, 2, 6, 4]","[4, 0, 0, 2, 0]","[1, 2, 0, 0, 4]",28,24,52,True,True,,,
free_monoid_extension,61,"[4, 1, 6, 3, 6]","[4, 1, 4, 4, 3]","[0, 0, 4, 3, 4]",71,57,128,True,True,,,
free_monoid_extension,62,"[5, 6, 7, 0, 4]","[2, 4, 2, 0, 3]","[4, 4, 2, 0, 4]",60,74,134,True,True,,,
free_monoid_extension,63,"[5, 6, 5, 5, 1]","[4, 0, 2, 0, 1]","[3, 1, 1, 4, 3]",31,49,80,True,True,,,
operational_nonuniqueness,,,,,,,,,,"[0, 0, 0, 0, 0]",Bernoulli_A,0.25
operational_nonuniqueness,,,,,,,,,,"[0, 0, 0, 0, 0]",Bernoulli_B,0.75
