sequence,timestamp_seconds,context,a1,a2,phase_radians,outcome_plus
89,0.000178,reference,0.0,0.0,0.0,1
90,0.00017999999999999998,reference,0.0,0.0,0.0,1
91,0.000182,reference,0.0,0.0,0.0,1
92,0.000184,reference,0.0,0.0,0.0,1
93,0.000186,reference,0.0,0.0,0.0,1
94,0.000188,reference,0.0,0.0,0.0,1
95,0.00019,reference,0.0,0.0,0.0,1
96,0.000192,reference,0.0,0.0,0.0,1
97,0.000194,reference,0.0,0.0,0.0,1
98,0.00019600000000000002,reference,0.0,0.0,0.0,1
99,0.00019800000000000002,reference,0.0,0.0,0.0,1
100,0.0002,reference,0.0,0.0,0.0,1
101,0.000202,reference,0.0,0.0,0.0,1
102,0.00020400000000000003,reference,0.0,0.0,0.0,1
103,0.00020600000000000002,reference,0.0,0.0,0.0,1
104,0.00020800000000000001,reference,0.0,0.0,0.0,1
105,0.00020999999999999998,reference,0.0,0.0,0.0,1
106,0.000212,reference,0.0,0.0,0.0,1
107,0.000214,reference,0.0,0.0,0.0,0
108,0.000216,reference,0.0,0.0,0.0,1
109,0.00021799999999999999,reference,0.0,0.0,0.0,1
110,0.00022,reference,0.0,0.0,0.0,1
111,0.000222,reference,0.0,0.0,0.0,1
112,0.000224,reference,0.0,0.0,0.0,1
113,0.00022600000000000002,reference,0.0,0.0,0.0,1
114,0.000228,reference,0.0,0.0,0.0,0
115,0.00023,reference,0.0,0.0,0.0,1
116,0.000232,reference,0.0,0.0,0.0,1
117,0.00023400000000000002,reference,0.0,0.0,0.0,1
118,0.00023600000000000002,reference,0.0,0.0,0.0,1
119,0.000238,reference,0.0,0.0,0.0,1
120,0.00023999999999999998,reference,0.0,0.0,0.0,1
121,0.000242,reference,0.0,0.0,0.0,1
122,0.000244,reference,0.0,0.0,0.0,1
123,0.000246,reference,0.0,0.0,0.0,1
124,0.000248,reference,0.0,0.0,0.0,1
125,0.00025,reference,0.0,0.0,0.0,0
126,0.000252,reference,0.0,0.0,0.0,1
127,0.000254,reference,0.0,0.0,0.0,1
128,0.000256,reference,0.0,0.0,0.0,1
129,0.000258,reference,0.0,0.0,0.0,1
130,0.00026000000000000003,reference,0.0,0.0,0.0,1
131,0.000262,reference,0.0,0.0,0.0,1
132,0.000264,reference,0.0,0.0,0.0,1
133,0.000266,reference,0.0,0.0,0.0,0
134,0.000268,reference,0.0,0.0,0.0,0
135,0.00027,reference,0.0,0.0,0.0,1
136,0.000272,reference,0.0,0.0,0.0,1
137,0.00027400000000000005,reference,0.0,0.0,0.0,1
138,0.00027600000000000004,reference,0.0,0.0,0.0,1
139,0.00027800000000000004,reference,0.0,0.0,0.0,1
140,0.00028000000000000003,reference,0.0,0.0,0.0,1
141,0.000282,reference,0.0,0.0,0.0,1
142,0.000284,reference,0.0,0.0,0.0,1
143,0.000286,reference,0.0,0.0,0.0,1
144,0.000288,reference,0.0,0.0,0.0,1
145,0.00029,reference,0.0,0.0,0.0,1
146,0.000292,reference,0.0,0.0,0.0,1
147,0.000294,reference,0.0,0.0,0.0,1
148,0.000296,reference,0.0,0.0,0.0,1
149,0.000298,reference,0.0,0.0,0.0,1
150,0.0003,reference,0.0,0.0,0.0,1
151,0.00030199999999999997,reference,0.0,0.0,0.0,1
152,0.000304,reference,0.0,0.0,0.0,1
153,0.000306,reference,0.0,0.0,0.0,1
154,0.000308,reference,0.0,0.0,0.0,1
155,0.00031,reference,0.0,0.0,0.0,1
156,0.000312,reference,0.0,0.0,0.0,1
157,0.000314,reference,0.0,0.0,0.0,1
158,0.000316,reference,0.0,0.0,0.0,1
159,0.00031800000000000003,reference,0.0,0.0,0.0,1
160,0.00032,reference,0.0,0.0,0.0,1
161,0.000322,reference,0.0,0.0,0.0,1
162,0.000324,reference,0.0,0.0,0.0,1
163,0.000326,reference,0.0,0.0,0.0,1
164,0.000328,reference,0.0,0.0,0.0,1
165,0.00033,reference,0.0,0.0,0.0,1
166,0.000332,reference,0.0,0.0,0.0,1
167,0.00033400000000000004,reference,0.0,0.0,0.0,1
168,0.00033600000000000004,reference,0.0,0.0,0.0,1
169,0.00033800000000000003,reference,0.0,0.0,0.0,1
170,0.00034,reference,0.0,0.0,0.0,1
171,0.000342,reference,0.0,0.0,0.0,1
172,0.000344,reference,0.0,0.0,0.0,1
173,0.000346,reference,0.0,0.0,0.0,1
174,0.00034800000000000006,reference,0.0,0.0,0.0,1
175,0.00035000000000000005,reference,0.0,0.0,0.0,1
176,0.000352,reference,0.0,0.0,0.0,1
177,0.000354,reference,0.0,0.0,0.0,1
178,0.000356,reference,0.0,0.0,0.0,1
179,0.000358,reference,0.0,0.0,0.0,1
180,0.00035999999999999997,reference,0.0,0.0,0.0,1
181,0.00036199999999999996,reference,0.0,0.0,0.0,1
182,0.000364,reference,0.0,0.0,0.0,1
183,0.000366,reference,0.0,0.0,0.0,1
184,0.000368,reference,0.0,0.0,0.0,1
185,0.00037,reference,0.0,0.0,0.0,1
186,0.000372,reference,0.0,0.0,0.0,1
187,0.000374,reference,0.0,0.0,0.0,1
188,0.000376,reference,0.0,0.0,0.0,1
189,0.000378,reference,0.0,0.0,0.0,0
190,0.00038,reference,0.0,0.0,0.0,1
191,0.000382,reference,0.0,0.0,0.0,1
192,0.000384,reference,0.0,0.0,0.0,1
193,0.000386,reference,0.0,0.0,0.0,1
194,0.000388,reference,0.0,0.0,0.0,1
195,0.00039,reference,0.0,0.0,0.0,1
196,0.00039200000000000004,reference,0.0,0.0,0.0,1
197,0.00039400000000000004,reference,0.0,0.0,0.0,1
198,0.00039600000000000003,reference,0.0,0.0,0.0,1
199,0.000398,reference,0.0,0.0,0.0,1
200,0.0004,reference,0.0,0.0,0.0,1
201,0.000402,reference,0.0,0.0,0.0,1
202,0.000404,reference,0.0,0.0,0.0,0
203,0.000406,reference,0.0,0.0,0.0,1
204,0.00040800000000000005,reference,0.0,0.0,0.0,1
205,0.00041000000000000005,reference,0.0,0.0,0.0,1
206,0.00041200000000000004,reference,0.0,0.0,0.0,1
207,0.00041400000000000003,reference,0.0,0.0,0.0,1
208,0.00041600000000000003,reference,0.0,0.0,0.0,1
209,0.00041799999999999997,reference,0.0,0.0,0.0,1
210,0.00041999999999999996,reference,0.0,0.0,0.0,1
211,0.000422,reference,0.0,0.0,0.0,1
212,0.000424,reference,0.0,0.0,0.0,1
213,0.000426,reference,0.0,0.0,0.0,1
214,0.000428,reference,0.0,0.0,0.0,1
215,0.00043,reference,0.0,0.0,0.0,1
216,0.000432,reference,0.0,0.0,0.0,1
217,0.000434,reference,0.0,0.0,0.0,1
218,0.00043599999999999997,reference,0.0,0.0,0.0,1
219,0.000438,reference,0.0,0.0,0.0,1
220,0.00044,reference,0.0,0.0,0.0,1
221,0.000442,reference,0.0,0.0,0.0,1
222,0.000444,reference,0.0,0.0,0.0,1
223,0.000446,reference,0.0,0.0,0.0,0
224,0.000448,reference,0.0,0.0,0.0,1
225,0.00045,reference,0.0,0.0,0.0,1
226,0.00045200000000000004,reference,0.0,0.0,0.0,1
227,0.00045400000000000003,reference,0.0,0.0,0.0,1
228,0.000456,reference,0.0,0.0,0.0,1
229,0.000458,reference,0.0,0.0,0.0,1
230,0.00046,reference,0.0,0.0,0.0,1
231,0.000462,reference,0.0,0.0,0.0,1
232,0.000464,reference,0.0,0.0,0.0,1
233,0.00046600000000000005,reference,0.0,0.0,0.0,1
234,0.00046800000000000005,reference,0.0,0.0,0.0,1
235,0.00047000000000000004,reference,0.0,0.0,0.0,1
236,0.00047200000000000003,reference,0.0,0.0,0.0,1
237,0.00047400000000000003,reference,0.0,0.0,0.0,1
238,0.000476,reference,0.0,0.0,0.0,1
239,0.000478,reference,0.0,0.0,0.0,1
240,0.00047999999999999996,reference,0.0,0.0,0.0,1
241,0.000482,reference,0.0,0.0,0.0,1
242,0.000484,reference,0.0,0.0,0.0,0
243,0.000486,reference,0.0,0.0,0.0,1
244,0.000488,reference,0.0,0.0,0.0,1
245,0.00049,reference,0.0,0.0,0.0,1
246,0.000492,reference,0.0,0.0,0.0,1
247,0.000494,reference,0.0,0.0,0.0,1
248,0.000496,reference,0.0,0.0,0.0,1
249,0.000498,reference,0.0,0.0,0.0,1
250,0.0005,reference,0.0,0.0,0.0,1
251,0.000502,reference,0.0,0.0,0.0,1
252,0.000504,reference,0.0,0.0,0.0,1
253,0.000506,reference,0.0,0.0,0.0,1
254,0.000508,reference,0.0,0.0,0.0,1
255,0.00051,reference,0.0,0.0,0.0,1
256,0.000512,reference,0.0,0.0,0.0,1
257,0.000514,reference,0.0,0.0,0.0,1
258,0.000516,reference,0.0,0.0,0.0,1
259,0.000518,reference,0.0,0.0,0.0,1
260,0.0005200000000000001,reference,0.0,0.0,0.0,1
261,0.000522,reference,0.0,0.0,0.0,1
262,0.000524,reference,0.0,0.0,0.0,1
263,0.000526,reference,0.0,0.0,0.0,1
264,0.000528,reference,0.0,0.0,0.0,1
265,0.00053,reference,0.0,0.0,0.0,1
266,0.000532,reference,0.0,0.0,0.0,1
267,0.0005340000000000001,reference,0.0,0.0,0.0,1
268,0.000536,reference,0.0,0.0,0.0,1
269,0.0005380000000000001,reference,0.0,0.0,0.0,1
270,0.00054,reference,0.0,0.0,0.0,1
271,0.0005420000000000001,reference,0.0,0.0,0.0,1
272,0.000544,reference,0.0,0.0,0.0,1
273,0.000546,reference,0.0,0.0,0.0,1
274,0.0005480000000000001,reference,0.0,0.0,0.0,0
275,0.00055,reference,0.0,0.0,0.0,1
276,0.0005520000000000001,reference,0.0,0.0,0.0,0
277,0.000554,reference,0.0,0.0,0.0,1
278,0.0005560000000000001,reference,0.0,0.0,0.0,1
279,0.000558,reference,0.0,0.0,0.0,1
280,0.0005600000000000001,reference,0.0,0.0,0.0,1
281,0.0005620000000000001,reference,0.0,0.0,0.0,1
282,0.000564,reference,0.0,0.0,0.0,1
283,0.0005660000000000001,reference,0.0,0.0,0.0,1
284,0.000568,reference,0.0,0.0,0.0,1
285,0.0005700000000000001,reference,0.0,0.0,0.0,1
286,0.000572,reference,0.0,0.0,0.0,1
287,0.0005740000000000001,reference,0.0,0.0,0.0,1
288,0.000576,reference,0.0,0.0,0.0,0
289,0.000578,reference,0.0,0.0,0.0,1
290,0.00058,reference,0.0,0.0,0.0,1
291,0.0005819999999999999,reference,0.0,0.0,0.0,1
292,0.000584,reference,0.0,0.0,0.0,1
293,0.0005859999999999999,reference,0.0,0.0,0.0,1
294,0.000588,reference,0.0,0.0,0.0,1
295,0.0005899999999999999,reference,0.0,0.0,0.0,1
296,0.000592,reference,0.0,0.0,0.0,1
297,0.000594,reference,0.0,0.0,0.0,1
298,0.000596,reference,0.0,0.0,0.0,0
299,0.000598,reference,0.0,0.0,0.0,1
300,0.0006,reference,0.0,0.0,0.7853981633974483,0
301,0.000602,reference,0.0,0.0,0.7853981633974483,1
302,0.0006039999999999999,reference,0.0,0.0,0.7853981633974483,1
303,0.000606,reference,0.0,0.0,0.7853981633974483,1
304,0.000608,reference,0.0,0.0,0.7853981633974483,1
305,0.00061,reference,0.0,0.0,0.7853981633974483,1
306,0.000612,reference,0.0,0.0,0.7853981633974483,0
307,0.000614,reference,0.0,0.0,0.7853981633974483,1
308,0.000616,reference,0.0,0.0,0.7853981633974483,1
309,0.000618,reference,0.0,0.0,0.7853981633974483,1
310,0.00062,reference,0.0,0.0,0.7853981633974483,1
311,0.000622,reference,0.0,0.0,0.7853981633974483,1
312,0.000624,reference,0.0,0.0,0.7853981633974483,1
313,0.000626,reference,0.0,0.0,0.7853981633974483,1
314,0.000628,reference,0.0,0.0,0.7853981633974483,1
315,0.00063,reference,0.0,0.0,0.7853981633974483,1
316,0.000632,reference,0.0,0.0,0.7853981633974483,1
317,0.000634,reference,0.0,0.0,0.7853981633974483,1
318,0.0006360000000000001,reference,0.0,0.0,0.7853981633974483,1
319,0.000638,reference,0.0,0.0,0.7853981633974483,1
320,0.00064,reference,0.0,0.0,0.7853981633974483,1
321,0.000642,reference,0.0,0.0,0.7853981633974483,1
322,0.000644,reference,0.0,0.0,0.7853981633974483,1
323,0.000646,reference,0.0,0.0,0.7853981633974483,0
324,0.000648,reference,0.0,0.0,0.7853981633974483,0
325,0.00065,reference,0.0,0.0,0.7853981633974483,1
326,0.000652,reference,0.0,0.0,0.7853981633974483,1
327,0.0006540000000000001,reference,0.0,0.0,0.7853981633974483,1
328,0.000656,reference,0.0,0.0,0.7853981633974483,1
329,0.0006580000000000001,reference,0.0,0.0,0.7853981633974483,1
330,0.00066,reference,0.0,0.0,0.7853981633974483,1
331,0.000662,reference,0.0,0.0,0.7853981633974483,0
332,0.000664,reference,0.0,0.0,0.7853981633974483,1
333,0.000666,reference,0.0,0.0,0.7853981633974483,1
334,0.0006680000000000001,reference,0.0,0.0,0.7853981633974483,1
335,0.00067,reference,0.0,0.0,0.7853981633974483,1
336,0.0006720000000000001,reference,0.0,0.0,0.7853981633974483,1
337,0.000674,reference,0.0,0.0,0.7853981633974483,1
338,0.0006760000000000001,reference,0.0,0.0,0.7853981633974483,1
339,0.000678,reference,0.0,0.0,0.7853981633974483,0
340,0.00068,reference,0.0,0.0,0.7853981633974483,0
341,0.0006820000000000001,reference,0.0,0.0,0.7853981633974483,1
342,0.000684,reference,0.0,0.0,0.7853981633974483,0
343,0.0006860000000000001,reference,0.0,0.0,0.7853981633974483,1
344,0.000688,reference,0.0,0.0,0.7853981633974483,1
345,0.0006900000000000001,reference,0.0,0.0,0.7853981633974483,0
346,0.000692,reference,0.0,0.0,0.7853981633974483,1
347,0.0006940000000000001,reference,0.0,0.0,0.7853981633974483,0
348,0.0006960000000000001,reference,0.0,0.0,0.7853981633974483,1
349,0.000698,reference,0.0,0.0,0.7853981633974483,1
350,0.0007000000000000001,reference,0.0,0.0,0.7853981633974483,1
351,0.000702,reference,0.0,0.0,0.7853981633974483,1
352,0.000704,reference,0.0,0.0,0.7853981633974483,0
353,0.0007059999999999999,reference,0.0,0.0,0.7853981633974483,0
354,0.000708,reference,0.0,0.0,0.7853981633974483,0
355,0.0007099999999999999,reference,0.0,0.0,0.7853981633974483,0
356,0.000712,reference,0.0,0.0,0.7853981633974483,1
357,0.000714,reference,0.0,0.0,0.7853981633974483,1
358,0.000716,reference,0.0,0.0,0.7853981633974483,0
359,0.000718,reference,0.0,0.0,0.7853981633974483,1
360,0.0007199999999999999,reference,0.0,0.0,0.7853981633974483,1
361,0.000722,reference,0.0,0.0,0.7853981633974483,1
362,0.0007239999999999999,reference,0.0,0.0,0.7853981633974483,0
363,0.000726,reference,0.0,0.0,0.7853981633974483,1
364,0.000728,reference,0.0,0.0,0.7853981633974483,1
365,0.00073,reference,0.0,0.0,0.7853981633974483,1
366,0.000732,reference,0.0,0.0,0.7853981633974483,1
367,0.000734,reference,0.0,0.0,0.7853981633974483,0
368,0.000736,reference,0.0,0.0,0.7853981633974483,1
369,0.0007379999999999999,reference,0.0,0.0,0.7853981633974483,1
370,0.00074,reference,0.0,0.0,0.7853981633974483,0
371,0.000742,reference,0.0,0.0,0.7853981633974483,1
372,0.000744,reference,0.0,0.0,0.7853981633974483,1
373,0.000746,reference,0.0,0.0,0.7853981633974483,1
374,0.000748,reference,0.0,0.0,0.7853981633974483,0
375,0.00075,reference,0.0,0.0,0.7853981633974483,1
376,0.000752,reference,0.0,0.0,0.7853981633974483,1
377,0.000754,reference,0.0,0.0,0.7853981633974483,1
378,0.000756,reference,0.0,0.0,0.7853981633974483,1
379,0.000758,reference,0.0,0.0,0.7853981633974483,1
380,0.00076,reference,0.0,0.0,0.7853981633974483,1
381,0.000762,reference,0.0,0.0,0.7853981633974483,0
382,0.000764,reference,0.0,0.0,0.7853981633974483,1
383,0.000766,reference,0.0,0.0,0.7853981633974483,1
384,0.000768,reference,0.0,0.0,0.7853981633974483,1
385,0.0007700000000000001,reference,0.0,0.0,0.7853981633974483,1
386,0.000772,reference,0.0,0.0,0.7853981633974483,1
387,0.0007740000000000001,reference,0.0,0.0,0.7853981633974483,1
388,0.000776,reference,0.0,0.0,0.7853981633974483,0
389,0.000778,reference,0.0,0.0,0.7853981633974483,1
390,0.00078,reference,0.0,0.0,0.7853981633974483,1
391,0.000782,reference,0.0,0.0,0.7853981633974483,1
392,0.0007840000000000001,reference,0.0,0.0,0.7853981633974483,1
393,0.000786,reference,0.0,0.0,0.7853981633974483,1
394,0.0007880000000000001,reference,0.0,0.0,0.7853981633974483,0
395,0.00079,reference,0.0,0.0,0.7853981633974483,1
396,0.0007920000000000001,reference,0.0,0.0,0.7853981633974483,0
397,0.000794,reference,0.0,0.0,0.7853981633974483,1
398,0.000796,reference,0.0,0.0,0.7853981633974483,1
399,0.000798,reference,0.0,0.0,0.7853981633974483,1
400,0.0008,reference,0.0,0.0,0.7853981633974483,1
401,0.0008020000000000001,reference,0.0,0.0,0.7853981633974483,1
402,0.000804,reference,0.0,0.0,0.7853981633974483,1
403,0.0008060000000000001,reference,0.0,0.0,0.7853981633974483,1
404,0.000808,reference,0.0,0.0,0.7853981633974483,1
405,0.0008100000000000001,reference,0.0,0.0,0.7853981633974483,1
406,0.000812,reference,0.0,0.0,0.7853981633974483,0
407,0.000814,reference,0.0,0.0,0.7853981633974483,1
408,0.0008160000000000001,reference,0.0,0.0,0.7853981633974483,1
409,0.000818,reference,0.0,0.0,0.7853981633974483,1
410,0.0008200000000000001,reference,0.0,0.0,0.7853981633974483,1
411,0.000822,reference,0.0,0.0,0.7853981633974483,1
412,0.0008240000000000001,reference,0.0,0.0,0.7853981633974483,1
413,0.000826,reference,0.0,0.0,0.7853981633974483,0
414,0.0008280000000000001,reference,0.0,0.0,0.7853981633974483,1
415,0.0008300000000000001,reference,0.0,0.0,0.7853981633974483,1
416,0.0008320000000000001,reference,0.0,0.0,0.7853981633974483,1
417,0.000834,reference,0.0,0.0,0.7853981633974483,0
418,0.0008359999999999999,reference,0.0,0.0,0.7853981633974483,1
419,0.000838,reference,0.0,0.0,0.7853981633974483,0
420,0.0008399999999999999,reference,0.0,0.0,0.7853981633974483,1
421,0.000842,reference,0.0,0.0,0.7853981633974483,1
422,0.000844,reference,0.0,0.0,0.7853981633974483,1
423,0.000846,reference,0.0,0.0,0.7853981633974483,1
424,0.000848,reference,0.0,0.0,0.7853981633974483,1
425,0.00085,reference,0.0,0.0,0.7853981633974483,1
426,0.000852,reference,0.0,0.0,0.7853981633974483,1
427,0.0008539999999999999,reference,0.0,0.0,0.7853981633974483,0
428,0.000856,reference,0.0,0.0,0.7853981633974483,1
429,0.000858,reference,0.0,0.0,0.7853981633974483,1
430,0.00086,reference,0.0,0.0,0.7853981633974483,1
431,0.000862,reference,0.0,0.0,0.7853981633974483,1
432,0.000864,reference,0.0,0.0,0.7853981633974483,1
433,0.000866,reference,0.0,0.0,0.7853981633974483,1
434,0.000868,reference,0.0,0.0,0.7853981633974483,0
435,0.00087,reference,0.0,0.0,0.7853981633974483,1
436,0.0008719999999999999,reference,0.0,0.0,0.7853981633974483,1
437,0.000874,reference,0.0,0.0,0.7853981633974483,1
438,0.000876,reference,0.0,0.0,0.7853981633974483,1
439,0.000878,reference,0.0,0.0,0.7853981633974483,1
440,0.00088,reference,0.0,0.0,0.7853981633974483,1
441,0.000882,reference,0.0,0.0,0.7853981633974483,1
442,0.000884,reference,0.0,0.0,0.7853981633974483,0
443,0.000886,reference,0.0,0.0,0.7853981633974483,1
444,0.000888,reference,0.0,0.0,0.7853981633974483,1
445,0.0008900000000000001,reference,0.0,0.0,0.7853981633974483,1
446,0.000892,reference,0.0,0.0,0.7853981633974483,1
447,0.000894,reference,0.0,0.0,0.7853981633974483,1
448,0.000896,reference,0.0,0.0,0.7853981633974483,1
449,0.000898,reference,0.0,0.0,0.7853981633974483,0
450,0.0009,reference,0.0,0.0,0.7853981633974483,1
451,0.000902,reference,0.0,0.0,0.7853981633974483,1
452,0.0009040000000000001,reference,0.0,0.0,0.7853981633974483,1
453,0.000906,reference,0.0,0.0,0.7853981633974483,1
454,0.0009080000000000001,reference,0.0,0.0,0.7853981633974483,1
455,0.00091,reference,0.0,0.0,0.7853981633974483,0
456,0.000912,reference,0.0,0.0,0.7853981633974483,1
457,0.000914,reference,0.0,0.0,0.7853981633974483,0
458,0.000916,reference,0.0,0.0,0.7853981633974483,1
459,0.0009180000000000001,reference,0.0,0.0,0.7853981633974483,1
460,0.00092,reference,0.0,0.0,0.7853981633974483,1
461,0.0009220000000000001,reference,0.0,0.0,0.7853981633974483,1
462,0.000924,reference,0.0,0.0,0.7853981633974483,1
463,0.0009260000000000001,reference,0.0,0.0,0.7853981633974483,1
464,0.000928,reference,0.0,0.0,0.7853981633974483,1
465,0.00093,reference,0.0,0.0,0.7853981633974483,1
466,0.0009320000000000001,reference,0.0,0.0,0.7853981633974483,1
467,0.000934,reference,0.0,0.0,0.7853981633974483,1
468,0.0009360000000000001,reference,0.0,0.0,0.7853981633974483,1
469,0.000938,reference,0.0,0.0,0.7853981633974483,1
470,0.0009400000000000001,reference,0.0,0.0,0.7853981633974483,1
471,0.000942,reference,0.0,0.0,0.7853981633974483,1
472,0.0009440000000000001,reference,0.0,0.0,0.7853981633974483,1
473,0.000946,reference,0.0,0.0,0.7853981633974483,1
474,0.0009480000000000001,reference,0.0,0.0,0.7853981633974483,1
475,0.0009500000000000001,reference,0.0,0.0,0.7853981633974483,0
476,0.000952,reference,0.0,0.0,0.7853981633974483,1
477,0.0009540000000000001,reference,0.0,0.0,0.7853981633974483,1
478,0.000956,reference,0.0,0.0,0.7853981633974483,1
479,0.0009580000000000001,reference,0.0,0.0,0.7853981633974483,0
480,0.0009599999999999999,reference,0.0,0.0,0.7853981633974483,0
481,0.000962,reference,0.0,0.0,0.7853981633974483,1
482,0.000964,reference,0.0,0.0,0.7853981633974483,1
483,0.000966,reference,0.0,0.0,0.7853981633974483,1
484,0.000968,reference,0.0,0.0,0.7853981633974483,1
485,0.0009699999999999999,reference,0.0,0.0,0.7853981633974483,1
486,0.000972,reference,0.0,0.0,0.7853981633974483,1
487,0.0009739999999999999,reference,0.0,0.0,0.7853981633974483,1
488,0.000976,reference,0.0,0.0,0.7853981633974483,1
489,0.000978,reference,0.0,0.0,0.7853981633974483,1
490,0.00098,reference,0.0,0.0,0.7853981633974483,1
491,0.000982,reference,0.0,0.0,0.7853981633974483,0
492,0.000984,reference,0.0,0.0,0.7853981633974483,0
493,0.000986,reference,0.0,0.0,0.7853981633974483,1
494,0.000988,reference,0.0,0.0,0.7853981633974483,1
495,0.00099,reference,0.0,0.0,0.7853981633974483,1
496,0.000992,reference,0.0,0.0,0.7853981633974483,1
497,0.000994,reference,0.0,0.0,0.7853981633974483,1
498,0.000996,reference,0.0,0.0,0.7853981633974483,1
499,0.000998,reference,0.0,0.0,0.7853981633974483,1
500,0.001,reference,0.0,0.0,0.7853981633974483,0
501,0.001002,reference,0.0,0.0,0.7853981633974483,1
502,0.001004,reference,0.0,0.0,0.7853981633974483,1
503,0.001006,reference,0.0,0.0,0.7853981633974483,1
504,0.001008,reference,0.0,0.0,0.7853981633974483,1
505,0.00101,reference,0.0,0.0,0.7853981633974483,1
506,0.001012,reference,0.0,0.0,0.7853981633974483,1
